hour,count,avg_trip_time,avg_trip_distance,avg_total_amount,avg_tip_amount
0,5587235,874.394391859301,10.8477079449401,18.0905788516626,2.73542772890914
1,4126459,6.96330582710261,11.2200398683407,17.3473130092297,2.606217273618
2,3030364,825.198992926262,15.5685312540987,16.9552392363548,2.52505717197514
3,2207835,820.265321004513,11.4572583400694,17.5631902204867,2.57422620060916
4,1648389,843.821556076873,6.31734058549505,21.3261152350535,3.14701009709919
5,1532727,809.380303863637,20.7836740540842,24.1955766427123,3.65675977184691
6,3263655,756.506734320876,15.2544551786074,18.5813808445015,2.80657081355246
7,5410009,141.232711997337,4.79189169605326,16.4234653543129,2.50400473509124
8,6566727,894.735283498157,7.97385677570732,16.3687825142432,2.50252410628976
9,6734087,906.032094179953,10.3070144719743,16.4722522169268,2.54339437991186
10,6641324,918.309487385347,13.1112152929349,16.8944208581662,2.62995139910821
11,6901937,944.982800045842,5.14653734632084,17.1982648515398,2.68072362423169
12,7213591,955.672818156727,8.63118701197821,17.287743138266,2.69057854739721
13,7184575,980.521962398611,13.4577457652442,17.8505467334238,2.7780201594826
14,7409760,1038.28061286735,36.9538117260808,18.5467677825225,2.88153475967217
15,7079931,7547.67667509754,7.6793751052537,18.9102862155019,2.9388976590264
16,6179820,1055.49507898288,10.3376164608551,19.4962814697466,3.01815621761978
17,7327544,1020.75366411993,10.8625571308393,18.5242782875643,2.85492874145966
18,8752363,943.687297019102,9.82402837962007,17.2978973422597,2.6564809293637
19,9022002,874.7144768977,10.8320063296324,17.5024257874924,3.25837768845853
20,8519738,849.482971542083,19.5495341099127,16.8754889772957,2.59883480443426
21,8473070,848.821284021022,19.7337691604476,17.4485463142269,2.69670193742164
22,8159782,875.064972814225,13.6185900312832,17.9385036305966,2.75850571726171
23,7140065,882.627058437143,16.6080847302586,18.3990025555527,2.80379470317975
