VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,RatecodeID,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,pickup_location,dropoff_location,pickup_zip,dropoff_zip
1,2015-01-30 14:00:16,2015-01-30 15:04:41,1,23.5,-74.0054,40.7287,5,N,-73.964,40.8653,1,70,0,0,0,9.75,0.3,80.05,0101000020E6100000000000E0578052C000000040475D4440,0101000020E6100000000000E0B27D52C000000040C36E4440,10014,
1,2015-01-19 15:51:15,2015-01-19 16:25:11,1,13.1,-73.9937,40.7246,3,N,-74.1773,40.6908,1,58,0,0,9,11,0.3,78.3,0101000020E610000000000000987F52C000000020BF5C4440,0101000020E610000000000060598B52C0000000A06D584440,10012,
1,2015-01-19 15:51:18,2015-01-19 16:23:11,1,14.4,-73.873,40.7741,1,N,-73.8989,40.9128,2,41,0,0.5,0,5.33,0.3,47.13,0101000020E610000000000000E07752C0000000C014634440,0101000020E6100000000000E0867952C000000040D5744440,11371,
1,2015-01-28 19:19:17,2015-01-28 19:35:33,1,4.5,-74.0088,40.7428,5,N,-74.0439,40.718,2,0.01,0,0,0,0,0.3,0.31,0101000020E610000000000000908052C000000040135F4440,0101000020E6100000000000E0CE8252C000000020E65B4440,10011,
1,2015-01-01 13:55:35,2015-01-01 14:07:00,1,3.1,-73.9943,40.7193,1,N,-74.039,40.7315,2,12,0,0.5,0,0,0,12.8,0101000020E610000000000060A37F52C0000000E0125C4440,0101000020E6100000000000007F8252C0000000E0A25D4440,10002,
2,2015-01-23 05:35:59,2015-01-23 05:45:04,1,2.79,-73.9864,40.7786,1,N,-74.0094,40.7466,1,10.5,0.5,0.5,2.36,0,0.3,14.16,0101000020E610000000000020217F52C000000080A9634440,0101000020E6100000000000209A8052C0000000E08F5F4440,10023,
1,2015-01-09 18:14:27,2015-01-09 18:43:19,1,18.1,-73.9938,40.7581,5,N,-74.1774,40.71,2,0.01,0,0,0,0,0.3,0.31,0101000020E6100000000000009A7F52C0000000C008614440,0101000020E6100000000000C05A8B52C000000000E25A4440,10018,
1,2015-01-16 23:16:22,2015-01-16 23:16:22,1,0,-73.9855,40.7438,1,N,0,0,2,10.5,0.5,0.5,0,0,0.3,11.8,0101000020E6100000000000C0127F52C0000000C0335F4440,0101000020E610000000000000000000000000000000000000,10016,
2,2015-01-26 03:54:35,2015-01-26 04:42:13,1,34.68,-73.9948,40.7402,5,N,-73.7043,41.0693,1,165,0,0,24.7,0,0.3,190,0101000020E610000000000060AB7F52C0000000C0BF5E4440,0101000020E6100000000000E0126D52C000000020E0884440,10011,
1,2015-01-03 12:15:48,2015-01-03 12:27:55,1,2.6,-73.9858,40.7635,1,N,0,0,1,11,0,0.5,1,0,0,12.8,0101000020E610000000000020187F52C000000020BB614440,0101000020E610000000000000000000000000000000000000,10019,
1,2015-01-05 20:06:54,2015-01-05 20:30:33,4,5.3,-73.9827,40.7646,5,N,-74.0184,40.7609,2,40,0,0,0,29.25,0.3,69.55,0101000020E6100000000000A0E47E52C000000060DD614440,0101000020E6100000000000402D8152C0000000E065614440,10019,
1,2015-01-19 16:03:14,2015-01-19 16:26:13,1,8.8,-73.7903,40.6464,4,N,-73.659,40.6566,1,39,0,0.5,7.96,0,0.3,47.76,0101000020E610000000000020947252C000000000BD524440,0101000020E6100000000000C02D6A52C0000000400A544440,11430,
2,2015-01-19 13:37:11,2015-01-19 13:57:32,1,4.19,-73.9786,40.7767,1,N,-74.0136,40.7454,1,17.5,0,0.5,3.5,0,0.3,21.8,0101000020E6100000000000C0A07E52C0000000A06B634440,0101000020E610000000000080DE8052C000000020695F4440,10023,
2,2015-01-10 11:19:36,2015-01-10 11:50:09,1,19.72,-73.9861,40.7601,3,N,-74.1831,40.6879,2,70.5,0,0,0,11,0,81.5,0101000020E6100000000000001D7F52C0000000804A614440,0101000020E6100000000000A0B88B52C0000000A00E584440,10036,
1,2015-01-31 15:51:38,2015-01-31 15:51:38,2,0,-73.9981,40.756,1,N,0,0,2,5.5,0,0.5,0,0,0.3,6.3,0101000020E610000000000060E07F52C000000060C3604440,0101000020E610000000000000000000000000000000000000,10018,
1,2015-01-31 16:14:58,2015-01-31 16:55:42,1,15.2,-73.9764,40.7809,5,N,-74.1699,40.7084,1,85,0,0,19.4,11.75,0.3,116.45,0101000020E6100000000000E07C7E52C000000020F6634440,0101000020E610000000000040E08A52C000000040AC5A4440,10024,
2,2015-01-24 04:48:53,2015-01-24 05:29:28,1,16.91,-73.9821,40.7629,3,N,-74.1813,40.6878,1,65.5,0.5,0,19.51,11.75,0.3,97.56,0101000020E6100000000000C0DA7E52C000000020A8614440,0101000020E6100000000000009A8B52C0000000E008584440,10019,
2,2015-01-24 04:48:56,2015-01-24 05:24:56,3,14.35,-73.9803,40.7303,1,N,-73.8305,40.8032,2,39.5,0.5,0.5,0,0,0.3,40.8,0101000020E6100000000000E0BC7E52C0000000E07B5D4440,0101000020E610000000000060277552C000000020CE664440,10009,
1,2015-01-24 19:41:57,2015-01-24 19:41:57,2,0,-74.0074,40.7431,1,N,0,0,2,2.5,0.5,0.5,0,0,0.3,3.8,0101000020E6100000000000A0788052C0000000401E5F4440,0101000020E610000000000000000000000000000000000000,10011,
1,2015-01-30 17:41:55,2015-01-30 17:41:55,1,0,-73.9599,40.7737,1,N,0,0,2,2.5,1,0.5,0,0,0.3,4.3,0101000020E6100000000000C06E7D52C00000006009634440,0101000020E610000000000000000000000000000000000000,10075,
